FeatureName,Importance
175,0.001709847
717,0.0017091113
801,0.0016888626
727,0.001646405
636,0.0016334293
49,0.0016317024
724,0.0016129988
352,0.0016021703
353,0.0015870034
633,0.0015805667
410,0.0015683775
164,0.0015666793
535,0.0015499094
624,0.0015348191
132,0.0015218153
270,0.0015195339
655,0.0015091134
364,0.0014894457
747,0.0014817928
746,0.001465869
792,0.0014539247
341,0.0014514069
813,0.0014457448
356,0.0014304755
386,0.00140519
85,0.0013990505
8,0.0013918175
291,0.0013829236
185,0.0013755074
360,0.0013615749
804,0.0013587599
267,0.0013576616
742,0.0013490377
269,0.001336328
350,0.0013111542
219,0.0012944913
363,0.0012793579
621,0.0012703162
413,0.0012631696
275,0.0012626079
187,0.0012529439
395,0.0012491238
781,0.0012484074
853,0.0012452883
318,0.0012422301
836,0.0012389923
255,0.0011744415
288,0.0011714819
293,0.0011613052
339,0.0011518878
87,0.0011501873
446,0.0011207728
283,0.0011205409
630,0.0011056148
394,0.0010905566
513,0.0010693766
59,0.0010357596
641,0.0010314841
408,0.0010178981
507,0.0010089872
625,0.0009950197
24,0.0009864945
583,0.0009785083
306,0.0009637819
168,0.00096326513
33,0.00095868006
750,0.0009518309
12,0.0009480837
169,0.00093550107
371,0.00092265476
150,0.0009214378
842,0.0008930366
740,0.00089234486
429,0.00089053786
416,0.00087955705
332,0.00086885545
743,0.0008652218
357,0.0008640905
276,0.00086357445
166,0.0008600188
80,0.00079069886
774,0.00077216525
165,0.00073660404
671,0.0007081841
791,0.00066823704
471,0.0006533259
417,0.00064459484
13,0.00064194977
613,0.0006111792
184,0.0005830344
524,0.00056560896
829,0.00055199646
209,0.00054634706
749,0.0005030038
171,0.00049163436
128,0.00048896676
192,0.00047367698
68,0.00044880688
564,0.00042684877
519,0.0004058032
659,0.0003992856
514,0.00039795964
110,0.00039569923
182,0.00037423728
268,0.0003651963
644,0.0003577849
387,0.00035170786
234,0.00035145634
92,0.00032246494
23,0.0003109082
701,0.0002601582
434,0.00025444457
287,0.00021662371
365,0.00021557539
333,0.00020937431
26,0.00020042484
2,0.00019934976
359,0.00017187862
452,0.00013215355
28,0.00011757898
82,8.89601e-05
421,6.763878e-05
762,5.86237e-05
436,4.706831e-05
10,4.6960067e-05
522,3.946109e-05
573,3.6260357e-05
55,0.0
279,0.0
284,0.0
54,0.0
48,0.0
50,0.0
282,0.0
280,0.0
46,0.0
285,0.0
52,0.0
53,0.0
113,0.0
45,0.0
320,0.0
27,0.0
312,0.0
313,0.0
314,0.0
315,0.0
22,0.0
317,0.0
321,0.0
290,0.0
323,0.0
324,0.0
325,0.0
6,0.0
326,0.0
327,0.0
328,0.0
304,0.0
274,0.0
35,0.0
36,0.0
44,0.0
294,0.0
43,0.0
42,0.0
296,0.0
298,0.0
299,0.0
41,0.0
301,0.0
40,0.0
39,0.0
38,0.0
37,0.0
302,0.0
303,0.0
56,0.0
245,0.0
57,0.0
156,0.0
158,0.0
93,0.0
159,0.0
160,0.0
91,0.0
162,0.0
163,0.0
90,0.0
329,0.0
89,0.0
88,0.0
86,0.0
83,0.0
180,0.0
81,0.0
79,0.0
78,0.0
77,0.0
191,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
76,0.0
199,0.0
157,0.0
94,0.0
74,0.0
95,0.0
114,0.0
115,0.0
111,0.0
116,0.0
117,0.0
118,0.0
